Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R32,10K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,150.8,-66.9,180,top
R33,20K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,162.3,-62.85,0,top
R34,35.7K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,166.1,-62.85,0,top
R35,20K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,162.4,-72.7,0,top
R36,35.7K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,166.2,-72.7,0,top
R37,20K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,162.4,-82.8,0,top
R38,35.7K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,166.2,-82.8,0,top
R39,20K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,162.375,-93.3,0,top
R40,35.7K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,166.175,-93.3,0,top
R41,20K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,162.4,-103.6,0,top
R42,35.7K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,166.2,-103.6,0,top
R43,20K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,162.4,-113.1,0,top
R44,35.7K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,166.2,-113.1,0,top
R45,20K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,162.4,-123.1,0,top
R46,35.7K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,166.2,-123.1,0,top
U1,LP5907MFX-3.3,SOT-23-5,173.8,-50.7,270,top
U2,TPS7A3001,MSOP-8-1EP_3x3mm_P0.65mm_EP1.68x1.88mm,164.6,-48.75,90,top
U3,LP5907MFX-3.3,SOT-23-5,173.9,-60.25,270,top
U4,TPS7A3001,MSOP-8-1EP_3x3mm_P0.65mm_EP1.68x1.88mm,164.7,-58.3,90,top
U5,LP5907MFX-3.3,SOT-23-5,174,-70.1,270,top
U6,TPS7A3001,MSOP-8-1EP_3x3mm_P0.65mm_EP1.68x1.88mm,164.8,-68.15,90,top
U7,LP5907MFX-3.3,SOT-23-5,174,-80.2,270,top
U8,TPS7A3001,MSOP-8-1EP_3x3mm_P0.65mm_EP1.68x1.88mm,164.8,-78.25,90,top
U9,LP5907MFX-3.3,SOT-23-5,173.975,-90.7,270,top
U10,TPS7A3001,MSOP-8-1EP_3x3mm_P0.65mm_EP1.68x1.88mm,164.775,-88.75,90,top
U11,LP5907MFX-3.3,SOT-23-5,174,-101,270,top
U12,TPS7A3001,MSOP-8-1EP_3x3mm_P0.65mm_EP1.68x1.88mm,164.8,-99.05,90,top
U13,LP5907MFX-3.3,SOT-23-5,174,-110.5,270,top
U14,TPS7A3001,MSOP-8-1EP_3x3mm_P0.65mm_EP1.68x1.88mm,164.8,-108.55,90,top
U15,LP5907MFX-3.3,SOT-23-5,174,-120.5,270,top
U16,TPS7A3001,MSOP-8-1EP_3x3mm_P0.65mm_EP1.68x1.88mm,164.8,-118.55,90,top
U17,LP5907MFX-3.3,SOT-23-5,147.55,-107.82,180,top
